4 1 1 -1000 0 0 
4 1 2 -1000 0 0 
4 1 3 -1000 0 0 
4 1 4 -1000 0 0 
4 2 1 -1000 0 0 
4 2 2 -5.93833 43.0854 107.145 
4 2 3 -1000 0 0 
4 2 4 -9.54311 11.5376 18.099 
4 3 1 -30.4893 85.2724 183.24 
4 3 2 -1000 0 0 
4 3 3 -8.93078 8.18442 10.5287 
4 3 4 -5.23159 4.8449 5.20175 
4 4 1 -1000 0 0 
4 4 2 -8.94719 18.9393 54.7481 
4 4 3 -6.30835 7.63034 25.6343 
4 4 4 -3.90924 2.7247 12.6651 
3 1 1 -3.90924 2.7247 12.6651 
3 1 2 -3.90924 2.7247 12.6651 
3 1 3 -3.90924 2.7247 12.6651 
3 1 4 -3.90924 2.7247 12.6651 
3 2 1 -43.9263 34.0873 108.768 
3 2 2 -27.123 23.1731 27.3884 
3 2 3 -4.10274 7.22836 14.5575 
3 2 4 -1000 0 0 
3 3 1 -5.49455 61.263 235.764 
3 3 2 -15.3986 14.0825 47.5382 
3 3 3 -1000 0 0 
3 3 4 -4.44436 6.70161 7.4279 
3 4 1 -1000 0 0 
3 4 2 -1000 0 0 
3 4 3 -1000 0 0 
3 4 4 -1000 0 0 
2 1 1 -1000 0 0 
2 1 2 -36.1139 83.0488 82.7282 
2 1 3 -24.9401 28.8552 18.7448 
2 1 4 -12.0174 10.0272 7.78493 
2 2 1 -95.6296 32.5812 15.7011 
2 2 2 -27.8464 12.7139 12.6476 
2 2 3 -9.79528 9.99231 4.92256 
2 2 4 -3.0092 4.32127 3.02788 
2 3 1 -56.7663 113.773 239.517 
2 3 2 -1000 0 0 
2 3 3 -7.24669 8.25664 11.6523 
2 3 4 -3.30341 4.67105 5.11381 
2 4 1 -1000 0 0 
2 4 2 -1000 0 0 
2 4 3 -1000 0 0 
2 4 4 0.16227 4.46591 1.95134 
1 1 1 -253.35 194.184 150.023 
1 1 2 -36.262 40.9426 42.8402 
1 1 3 -10.2314 11.8 5.0742 
1 1 4 -3.56455 0.916854 0.847649 
1 2 1 -211.698 61.3861 169.849 
1 2 2 -23.2511 9.96856 10.1938 
1 2 3 -2.61819 2.78219 2.80469 
1 2 4 -0.824761 1.42133 0.84409 
1 3 1 -1000 0 0 
1 3 2 -14.7865 7.04709 16.7161 
1 3 3 -4.32963 5.98574 8.44372 
1 3 4 -0.504931 1.58369 1.75259 
1 4 1 -1000 0 0 
1 4 2 -1000 0 0 
1 4 3 -1000 0 0 
1 4 4 -1000 0 0 
