4 1 1 -100 0 0 
4 1 2 -100 0 0 
4 1 3 -100 0 0 
4 1 4 -100 0 0 
4 2 1 2.86932 2.35324 2.54138 
4 2 2 1.46338 0.858449 1.91677 
4 2 3 0.565681 0.916418 1.53664 
4 2 4 0.161498 0.782393 0.553038 
4 3 1 1.86338 1.12592 1.24174 
4 3 2 0.889969 0.38467 0.665316 
4 3 3 0.444782 0.234238 0.315758 
4 3 4 0.194157 0.313616 0.213857 
4 4 1 -100 0 0 
4 4 2 -100 0 0 
4 4 3 -100 0 0 
4 4 4 0.119762 0.23806 1.02685 
3 1 1 0.119762 0.23806 1.02685 
3 1 2 0.119762 0.23806 1.02685 
3 1 3 0.119762 0.23806 1.02685 
3 1 4 0.119762 0.23806 1.02685 
3 2 1 2.39458 0.746337 0.96384 
3 2 2 1.14132 0.350251 0.41922 
3 2 3 -2.31204 0.720656 0.889104 
3 2 4 -100 0 0 
3 3 1 -100 0 0 
3 3 2 0.485134 0.291792 3.25659 
3 3 3 0.232751 0.301272 0.605854 
3 3 4 0.103126 0.426144 0.296751 
3 4 1 -100 0 0 
3 4 2 -100 0 0 
3 4 3 -100 0 0 
3 4 4 -100 0 0 
2 1 1 4.9704 1.90299 6.33389 
2 1 2 1.24265 1.38059 0.702441 
2 1 3 0.407718 1.13799 0.328732 
2 1 4 0.0957243 0.39527 0.196035 
2 2 1 1.54094 0.283154 1.99211 
2 2 2 0.70291 0.181769 0.205925 
2 2 3 0.227732 0.510478 0.158381 
2 2 4 0.0641366 0.187385 0.116767 
2 3 1 -100 0 0 
2 3 2 -100 0 0 
2 3 3 -0.0209938 0.220188 0.260706 
2 3 4 0.0156374 0.298563 0.187574 
2 4 1 -100 0 0 
2 4 2 -100 0 0 
2 4 3 -100 0 0 
2 4 4 0.0571701 0.233761 0.216455 
1 1 1 4.25683 0.796573 1.06568 
1 1 2 0.316589 0.436451 0.244112 
1 1 3 0.0440752 0.161778 0.220051 
1 1 4 -0.014968 0.0391173 0.0379079 
1 2 1 -100 0 0 
1 2 2 -0.0315316 0.146139 0.167222 
1 2 3 0.122954 0.109516 0.0782465 
1 2 4 0.0251954 0.0529201 0.0614069 
1 3 1 -100 0 0 
1 3 2 -0.0421743 0.204792 0.154355 
1 3 3 -0.111511 0.222323 0.267387 
1 3 4 0.0697155 0.0823419 0.0737816 
1 4 1 -100 0 0 
1 4 2 -100 0 0 
1 4 3 -100 0 0 
1 4 4 -100 0 0 
