1 3.34339 1.84033 1.84212 1.25 0.11 0.07
2 2.35874 0.45082 0.452138 1.24 0.11 0.22
3 1.75534 0.396281 0.398485 1.24 0.11 0.38
4 1.41789 0.432073 0.435299 1.21 0.11 0.52
5 1.16281 0.377496 0.387463 1.2 0.11 0.67
6 0.976658 0.31593 0.332283 1.2 0.11 0.82
7 0.852179 0.392267 0.440998 1.2 0.11 0.95
8 2.73017 1.1603 1.15995 1.23 0.14 0.08
9 1.88133 0.306965 0.305569 1.22 0.15 0.22
10 1.51807 0.252092 0.253173 1.22 0.14 0.37
11 1.19383 0.25094 0.254022 1.21 0.14 0.53
12 0.985943 0.248566 0.25357 1.19 0.14 0.68
13 0.803844 0.208706 0.215573 1.19 0.15 0.82
14 0.703563 0.236302 0.251726 1.21 0.15 0.95
15 1.75536 1.6311 1.69781 1.21 0.21 0.09
16 1.33157 0.364576 0.35691 1.21 0.21 0.22
17 1.0317 0.507331 0.490421 1.21 0.21 0.37
18 0.837634 0.370901 0.373833 1.2 0.21 0.52
19 0.731806 0.306963 0.321258 1.19 0.2 0.68
20 0.627766 0.292808 0.304389 1.19 0.2 0.83
21 0.560292 0.384438 0.412599 1.21 0.2 0.95
22 1.20131 3.83502 0 1.27 0.26 0.11
23 0.962601 0.504208 0.499938 1.28 0.26 0.22
24 0.753817 0.52257 0.487468 1.28 0.26 0.37
25 0.61722 0.730519 0.732409 1.28 0.26 0.52
26 0.523152 0.557265 0.578954 1.27 0.26 0.67
27 0.453385 0.476453 0.496741 1.27 0.26 0.82
28 0.406092 0.596524 0.633914 1.28 0.26 0.95
29 0.773554 0 0 1.44 0.31 0.13
30 0.651482 1.75226 2.58183 1.44 0.31 0.22
31 0.514692 1.64385 1.46502 1.44 0.31 0.37
32 0.424812 1.98497 0 1.44 0.31 0.52
33 0.361752 1.77765 0 1.44 0.31 0.67
34 0.315469 1.33381 0 1.44 0.31 0.82
35 0.284974 1.66381 0 1.44 0.31 0.95
36 3.32837 1.64209 1.64215 1.77 0.11 0.07
37 2.32267 0.509073 0.508587 1.77 0.11 0.22
38 1.73986 0.453897 0.452519 1.73 0.11 0.37
39 1.36154 0.442556 0.441686 1.72 0.11 0.52
40 1.10093 0.424714 0.427316 1.7 0.11 0.67
41 0.91196 0.40529 0.416646 1.69 0.11 0.82
42 0.785656 0.490285 0.527231 1.7 0.11 0.95
43 2.71225 1.4665 1.46807 1.76 0.14 0.08
44 1.95417 0.376599 0.377664 1.76 0.14 0.22
45 1.4688 0.28741 0.288806 1.76 0.14 0.37
46 1.15464 0.277887 0.278399 1.74 0.14 0.52
47 0.936346 0.264232 0.264521 1.73 0.14 0.67
48 0.739039 0.224452 0.227236 1.72 0.15 0.82
49 0.640666 0.250377 0.259355 1.71 0.15 0.95
50 1.84817 2.01173 2.02762 1.74 0.2 0.09
51 1.29764 0.355582 0.354418 1.73 0.21 0.22
52 0.986659 0.396382 0.394207 1.73 0.21 0.37
53 0.783948 0.274983 0.277642 1.73 0.21 0.52
54 0.643566 0.214015 0.218541 1.72 0.21 0.67
55 0.564308 0.2377 0.243902 1.72 0.2 0.83
56 0.497357 0.259041 0.276826 1.72 0.2 0.95
57 1.18549 3.80727 4.07671 1.72 0.26 0.11
58 0.873818 0.347617 0.347992 1.72 0.27 0.22
59 0.67306 0.334288 0.32558 1.72 0.27 0.37
60 0.54177 0.443726 0.441636 1.72 0.27 0.52
61 0.450078 0.413019 0.434918 1.72 0.27 0.67
62 0.383067 0.293461 0.306674 1.72 0.27 0.82
63 0.338425 0.319258 0.338688 1.72 0.27 0.95
64 0.699403 0 0 1.72 0.32 0.13
65 0.584665 0.554897 0.645379 1.75 0.32 0.22
66 0.456926 0.3865 0.381796 1.75 0.32 0.37
67 0.372983 0.43671 0.415265 1.75 0.32 0.52
68 0.314088 0.529077 0.549595 1.75 0.32 0.67
69 0.270864 0.43246 0.463055 1.75 0.32 0.82
70 0.241956 0.453213 0.485965 1.75 0.32 0.95
71 0.334402 1.94324 0 1.91 0.37 0.23
72 0.270925 1.08704 0 1.91 0.37 0.37
73 0.225077 1.06098 0 1.91 0.37 0.52
74 0.192626 0 0 1.91 0.37 0.67
75 0.168608 0 0 1.91 0.37 0.82
76 0.152427 0 0 1.91 0.37 0.95
77 3.13402 4.12518 4.12267 2.08 0.12 0.07
78 2.23011 1.33087 1.32633 2.08 0.12 0.21
79 1.62711 1.17402 1.16685 2.08 0.12 0.37
80 1.28695 1.18675 1.17878 2.07 0.12 0.51
